project,all_reduced_tests,time_all_track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
mocnik-science-geogrid,8,168.689,16.099,0,2,97.747,11.602,5.486,0,3,125.587,7.468,9.407,0,2,97.747,11.602,5.486,0,3,125.587,7.468,9.407,0,2,97.747,11.602,5.486,0,3,125.587,7.468,9.407,0,2,97.747,11.602,5.486,0,3,125.587,7.468,9.407,0,2,97.747,11.602,5.486,0,3,125.587,7.468,9.407,0
mojohaus-aspectj-maven-plugin,18,108.527,2.879,9,12,71.664,2.665,2.431,9,17,110.037,2.826,1.593,66,11,66.992,2.611,2.416,9,12,71.113,2.705,2.302,9,11,66.992,2.611,2.416,9,17,110.037,2.826,1.593,66,11,66.992,2.611,2.416,9,14,85.536,2.721,2.288,9,11,66.992,2.611,2.416,9,11,68.085,2.599,2.431,9
mojohaus-license-maven-plugin,48,24.098,1.952,4,33,23.206,1.954,1.696,4,33,23.467,1.940,1.752,13,29,23.698,1.930,1.696,4,29,22.921,1.940,1.752,4,32,23.337,1.951,1.681,4,32,23.237,1.940,1.752,4,29,23.698,1.930,1.696,4,29,22.921,1.940,1.752,4,29,23.698,1.930,1.696,4,29,22.921,1.940,1.752,4
nonblocking-nonsnapshot-maven-plugin,30,12.135,1.639,2,26,10.849,1.653,1.478,2,26,10.725,1.654,1.580,11,25,10.833,1.641,1.544,2,25,11.240,1.654,1.580,2,26,10.849,1.653,1.478,2,26,10.725,1.654,1.580,11,25,10.791,1.651,1.476,2,25,11.228,1.640,1.612,2,24,10.798,1.685,1.558,2,24,10.757,1.640,1.612,2
octavian-h-time-series-math,159,393.685,12.723,0,12,378.802,12.293,1.856,0,19,381.234,7.092,8.346,0,8,398.357,12.386,1.849,0,10,385.485,7.055,8.460,0,11,386.152,12.320,1.848,0,14,361.108,7.099,8.456,0,7,405.999,12.298,1.837,0,10,393.585,7.169,8.549,0,7,405.999,12.298,1.837,0,8,378.366,7.083,8.434,0
palindromicity-simple-syslog,48,72.667,1.937,3,23,56.660,1.764,1.625,3,26,56.751,1.853,1.612,3,15,54.364,1.758,1.688,3,14,56.080,1.804,1.646,3,20,56.147,1.779,1.627,3,19,56.013,1.759,1.643,3,15,54.364,1.758,1.688,3,14,56.080,1.804,1.646,3,13,56.623,1.766,1.654,3,13,56.192,1.768,1.652,3
pebbleblog-pebble,303,97.903,3.763,0,96,53.941,2.934,2.714,0,97,50.501,2.405,3.332,0,93,51.819,2.905,2.723,0,95,50.975,2.385,3.348,0,94,51.562,2.934,2.724,0,96,51.757,2.400,3.346,0,93,51.709,2.893,2.723,0,94,50.817,2.370,3.327,0,91,51.037,2.873,2.778,0,94,50.310,2.356,3.375,0
picturesafe-picturesafe-search,62,33.265,2.207,0,24,31.986,2.063,2.041,0,41,35.473,2.193,1.743,0,24,31.602,2.082,2.085,0,34,35.343,2.191,2.009,0,23,31.825,2.091,2.075,0,39,34.764,2.223,1.989,0,24,31.511,2.059,2.052,0,35,35.190,2.198,2.030,0,22,31.600,2.076,2.062,0,29,34.582,2.227,2.028,0
romix-java-concurrent-hash-trie-map,21,153.678,4.562,7,10,143.597,4.094,2.135,7,11,142.574,4.041,2.420,16,10,143.597,4.094,2.135,7,10,144.692,4.041,2.420,7,10,143.597,4.094,2.135,7,10,144.692,4.041,2.420,7,10,143.597,4.094,2.135,7,10,144.692,4.041,2.420,7,10,143.597,4.094,2.135,7,10,144.692,4.041,2.420,7
rythmengine-rythmengine,253,124.848,20.419,3,230,85.155,11.185,3.552,3,,,,,,222,84.803,8.986,5.895,3,,,,,,229,86.668,11.128,3.547,3,,,,,,222,85.794,9.017,5.822,3,,,,,,222,84.803,8.986,5.895,3,,,,,
sangupta-bloomfilter,5,96.35,12.078,1,4,93.807,7.787,2.884,1,4,94.934,5.563,7.780,1,4,93.807,7.787,2.884,1,4,94.934,5.563,7.780,1,4,93.807,7.787,2.884,1,4,94.934,5.563,7.780,1,4,93.807,7.787,2.884,1,4,94.934,5.563,7.780,1,4,93.807,7.787,2.884,1,4,94.934,5.563,7.780,1
sbesada-java.math.expression.parser,10,3623.74,12.237,0,8,3558.144,13.500,1.191,0,8,3527.320,1.207,11.127,0,8,3558.144,13.500,1.191,0,8,3527.320,1.207,11.127,0,8,3558.144,13.500,1.191,0,8,3527.320,1.207,11.127,0,8,3558.144,13.500,1.191,0,8,3527.320,1.207,11.127,0,8,3558.144,13.500,1.191,0,8,3527.320,1.207,11.127,0
stefano81-dcpabe,36,48.937,7.745,8,30,45.337,5.506,3.782,8,28,45.750,5.216,4.483,29,25,44.166,4.749,4.855,8,21,44.347,4.561,5.113,8,29,45.196,5.523,4.077,8,25,44.463,4.945,4.739,8,22,43.937,4.835,4.998,8,22,44.087,4.621,5.258,8,20,44.591,4.826,5.020,8,19,42.649,4.520,5.029,8
wiqer-ef-redis,7,211.405,4.337,0,4,188.206,4.298,1.294,0,4,194.767,1.367,4.373,0,4,188.206,4.298,1.294,0,4,194.767,1.367,4.373,0,4,188.206,4.298,1.294,0,4,194.767,1.367,4.373,0,4,188.206,4.298,1.294,0,4,194.767,1.367,4.373,0,4,188.206,4.298,1.294,0,4,194.767,1.367,4.373,0
wz2cool-mybatis-dynamic-query,204,26.602,1.886,7,50,26.352,1.845,1.734,7,47,25.905,1.811,1.808,18,45,26.596,1.838,1.724,7,43,26.401,1.811,1.808,7,45,26.307,1.838,1.735,7,43,26.531,1.811,1.808,7,44,25.729,1.850,1.909,7,43,25.690,1.811,1.808,7,42,25.674,1.837,1.920,7,41,25.814,1.838,1.974,7
