project,all_reduced_tests,time_all_no-track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_no-track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_no-track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_no-track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_no-track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_no-track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_no-track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_no-track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_no-track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_no-track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_no-track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
jahlborn-jackcess,194,206.673,37.711,30,181,188.284,13.300,23.246,30,175,188.945,13.152,23.306,30,170,191.751,13.304,23.584,30,165,188.692,13.293,23.618,30,180,180.696,13.165,23.277,30,175,188.945,13.152,23.306,30,170,191.751,13.304,23.584,30,165,188.692,13.293,23.618,30,170,191.751,13.304,23.584,30,165,188.692,13.293,23.618,30
lhncbc-metamaplite,36,17.404,1.899,0,18,14.787,1.893,1.781,0,,,,,,18,14.787,1.893,1.781,0,,,,,,18,14.787,1.893,1.781,0,,,,,,17,16.224,1.865,1.780,0,,,,,,16,16.303,1.895,1.783,0,,,,,
mimno-Mallet,184,884.519,17.724,13,90,777.902,10.388,9.076,13,,,,,,80,754.137,10.707,9.374,13,,,,,,86,725.223,10.537,8.993,13,,,,,,79,697.056,10.534,9.423,13,,,,,,75,722.193,10.738,9.394,13,,,,,
mocnik-science-geogrid,8,94.335,16.099,0,2,64.375,11.602,5.486,0,1,29.690,7.468,9.407,0,2,64.375,11.602,5.486,0,1,29.690,7.468,9.407,0,2,64.375,11.602,5.486,0,1,29.690,7.468,9.407,0,2,64.375,11.602,5.486,0,1,29.690,7.468,9.407,0,2,64.375,11.602,5.486,0,1,29.690,7.468,9.407,0
mojohaus-aspectj-maven-plugin,18,45.609,2.879,9,12,42.495,2.665,2.431,9,13,45.786,2.826,1.593,9,11,40.896,2.611,2.416,9,9,41.688,2.705,2.302,9,11,40.896,2.611,2.416,9,13,45.786,2.826,1.593,9,11,40.896,2.611,2.416,9,10,43.642,2.721,2.288,9,11,40.896,2.611,2.416,9,7,40.065,2.599,2.431,9
mojohaus-license-maven-plugin,48,23.229,1.952,4,33,23.165,1.954,1.696,4,11,22.025,1.940,1.752,4,29,25.307,1.930,1.696,4,11,22.025,1.940,1.752,4,32,23.326,1.951,1.681,4,11,22.025,1.940,1.752,4,29,25.307,1.930,1.696,4,11,22.025,1.940,1.752,4,29,25.307,1.930,1.696,4,11,22.025,1.940,1.752,4
nonblocking-nonsnapshot-maven-plugin,30,11.130,1.639,2,26,10.670,1.653,1.478,2,19,8.739,1.654,1.580,2,25,10.599,1.641,1.544,2,19,8.739,1.654,1.580,2,26,10.670,1.653,1.478,2,19,8.739,1.654,1.580,2,25,10.553,1.651,1.476,2,18,8.669,1.640,1.612,2,24,10.582,1.685,1.558,2,18,8.669,1.640,1.612,2
octavian-h-time-series-math,159,126.616,12.723,0,12,123.606,12.293,1.856,0,12,118.162,7.092,8.346,0,8,124.753,12.386,1.849,0,6,118.953,7.055,8.460,0,11,124.170,12.320,1.848,0,7,118.242,7.099,8.456,0,7,123.539,12.298,1.837,0,6,117.174,7.169,8.549,0,7,123.539,12.298,1.837,0,4,117.953,7.083,8.434,0
palindromicity-simple-syslog,48,39.409,1.937,3,23,30.742,1.764,1.625,3,26,30.877,1.853,1.612,3,15,31.002,1.758,1.688,3,14,31.262,1.804,1.646,3,20,31.523,1.779,1.627,3,19,32.037,1.759,1.643,3,15,31.002,1.758,1.688,3,14,31.262,1.804,1.646,3,13,31.023,1.766,1.654,3,13,31.205,1.768,1.652,3
pebbleblog-pebble,303,95.080,3.763,0,96,53.878,2.934,2.714,0,66,51.288,2.405,3.332,0,93,52.818,2.905,2.723,0,66,50.131,2.385,3.348,0,94,51.039,2.934,2.724,0,65,51.175,2.400,3.346,0,93,52.565,2.893,2.723,0,65,49.372,2.370,3.327,0,91,52.890,2.873,2.778,0,65,50.486,2.356,3.375,0
picturesafe-picturesafe-search,62,34.086,2.207,0,24,31.614,2.063,2.041,0,28,30.866,2.193,1.743,0,24,30.584,2.082,2.085,0,21,32.435,2.191,2.009,0,23,30.667,2.091,2.075,0,27,30.906,2.223,1.989,0,24,30.366,2.059,2.052,0,22,32.510,2.198,2.030,0,22,30.484,2.076,2.062,0,18,30.863,2.227,2.028,0
romix-java-concurrent-hash-trie-map,21,37.955,4.562,7,10,34.466,4.094,2.135,7,4,37.561,4.041,2.420,2,10,34.466,4.094,2.135,7,4,37.561,4.041,2.420,2,10,34.466,4.094,2.135,7,4,37.561,4.041,2.420,2,10,34.466,4.094,2.135,7,4,37.561,4.041,2.420,2,10,34.466,4.094,2.135,7,4,37.561,4.041,2.420,2
rythmengine-rythmengine,253,109.927,20.419,3,230,82.727,11.185,3.552,3,,,,,,222,80.279,8.986,5.895,3,,,,,,229,83.001,11.128,3.547,3,,,,,,222,80.242,9.017,5.822,3,,,,,,222,80.279,8.986,5.895,3,,,,,
sangupta-bloomfilter,5,30.888,12.078,1,4,26.541,7.787,2.884,1,1,24.270,5.563,7.780,1,4,26.541,7.787,2.884,1,1,24.270,5.563,7.780,1,4,26.541,7.787,2.884,1,1,24.270,5.563,7.780,1,4,26.541,7.787,2.884,1,1,24.270,5.563,7.780,1,4,26.541,7.787,2.884,1,1,24.270,5.563,7.780,1
sbesada-java.math.expression.parser,10,330.089,12.237,0,8,353.384,13.500,1.191,0,2,4.574,1.207,11.127,0,8,353.384,13.500,1.191,0,2,4.574,1.207,11.127,0,8,353.384,13.500,1.191,0,2,4.574,1.207,11.127,0,8,353.384,13.500,1.191,0,2,4.574,1.207,11.127,0,8,353.384,13.500,1.191,0,2,4.574,1.207,11.127,0
stefano81-dcpabe,36,46.248,7.745,8,30,42.747,5.506,3.782,8,27,43.586,5.216,4.483,8,25,42.595,4.749,4.855,8,20,41.546,4.561,5.113,8,29,44.205,5.523,4.077,8,24,41.762,4.945,4.739,8,22,42.563,4.835,4.998,8,21,41.898,4.621,5.258,8,20,42.207,4.826,5.020,8,18,42.065,4.520,5.029,8
wiqer-ef-redis,7,52.939,4.337,0,4,52.180,4.298,1.294,0,1,8.589,1.367,4.373,0,4,52.180,4.298,1.294,0,1,8.589,1.367,4.373,0,4,52.180,4.298,1.294,0,1,8.589,1.367,4.373,0,4,52.180,4.298,1.294,0,1,8.589,1.367,4.373,0,4,52.180,4.298,1.294,0,1,8.589,1.367,4.373,0
wz2cool-mybatis-dynamic-query,204,26.551,1.886,7,50,24.627,1.845,1.734,7,6,23.061,1.811,1.808,5,45,25.932,1.838,1.724,7,6,23.061,1.811,1.808,5,45,25.379,1.838,1.735,7,6,23.061,1.811,1.808,5,44,26.161,1.850,1.909,7,6,23.061,1.811,1.808,5,42,25.982,1.837,1.920,7,5,25.356,1.838,1.974,5
